Year,Age,Gender,Spending,Stay,Country_of_origin
2023,42,1,1004,14,Samoa
2023,35,1,1129,10,Samoa
2023,42,0,949,14,Samoa
2023,48,1,940,7,Samoa
2023,36,1,562,7,Samoa
2023,50,0,546,9,Singapore
2023,59,0,1200,5,Singapore
2023,18,1,590,14,Singapore
2023,52,0,1269,10,Singapore
2023,41,1,488,7,Singapore
2023,27,0,660,14,Singapore
2023,44,1,750,16,Singapore
2023,58,0,980,7,Singapore
2023,22,1,805,13,Singapore
2023,44,1,650,8,Singapore
2023,31,1,750,15,Singapore
2023,31,0,960,13,Singapore
2023,52,1,660,15,Singapore
2023,36,0,820,9,Singapore
2023,32,0,910,20,Singapore
2023,51,1,627,19,Singapore
2023,36,0,466,8,South Korea
2023,55,1,1045,10,South Korea
2023,32,0,650,12,South Korea
2023,42,1,773,14,South Korea
2023,33,0,814,7,South Korea
2023,50,1,690,9,South Korea
2023,40,0,819,9,South Korea
2023,40,1,980,10,South Korea
2023,49,0,600,7,Tonga
2023,39,1,780,14,Tonga
2023,33,1,590,10,Tonga
2023,43,1,802,12,Tonga
2023,56,0,560,15,Tonga
2023,59,0,625,6,Tonga
2023,29,0,812,8,United Arab Emirates
2023,23,0,850,7,United Arab Emirates
2023,33,0,960,5,United Arab Emirates
2023,24,1,974,6,United Arab Emirates
2023,44,0,450,2,United Arab Emirates
2023,23,1,1998,15,United Arab Emirates
2023,37,1,509,2,United Arab Emirates
2023,19,0,1664,7,United Arab Emirates
2023,37,0,1279,14,United States
2023,35,0,519,2,United States
2023,56,0,617,2,United States
2023,30,0,630,3,United States
2023,49,1,530,3,United States
2023,37,1,860,5,United States
2023,40,1,960,4,United States
2023,36,1,562,3,United States
2023,31,1,619,7,United States
2023,23,1,852,5,United States
2023,39,0,960,3,United States
2023,27,1,850,6,United States
2023,52,0,970,4,United States
2023,43,0,750,8,United States
2023,48,1,660,6,United States
2023,42,1,697,4,United States
2023,39,0,569,4,United States
2023,33,0,695,5,United States
2023,40,1,660,7,United States
2023,55,1,740,6,United States
2023,31,0,740,3,United States
2023,44,1,494,2,United States
2023,55,1,645,3,United States
2023,33,1,1668,7,United States
2023,20,0,600,3,United States
2023,59,0,1557,7,United States
2023,55,0,1983,14,United States
2023,55,0,768,5,United States
2023,32,0,821,9,United States
2023,41,1,990,7,United States
2023,30,0,1020,10,United States
2023,23,0,1200,8,United States
2023,59,0,1100,10,United States
2023,20,0,950,5,United States
2023,47,0,960,6,United States
2023,38,1,650,4,United States
2023,28,0,750,5,United States
2023,43,0,980,8,United States
2023,41,0,1687,14,United States
2023,24,0,950,4,Vanuatu
2023,29,1,920,6,Vanuatu
2023,31,0,930,7,Vanuatu
2023,20,0,980,4,Vanuatu
2023,22,0,720,10,Vanuatu
2023,52,0,845,5,Australia
2023,56,1,940,6,Australia
2023,17,1,800,5,Australia
2023,38,0,980,7,Australia
2023,52,1,498,2,Australia
2023,28,0,1020,10,Australia
2023,47,1,976,5,Australia
2023,56,0,1000,6,Australia
2023,32,0,1000,4,Australia
2023,26,1,795,3,Australia
2023,34,0,1100,12,Australia
2023,17,1,696,8,Australia
2023,54,1,960,6,Australia
2023,55,1,799,4,Australia
2023,56,0,650,5,Australia
2023,55,1,721,6,Australia
2023,1,0,1100,7,Australia
2023,2,1,723,10,Australia
2023,51,0,558,6,Australia
2023,22,0,719,4,Australia
2023,2,0,1200,6,Australia
2023,2,0,1504,14,Australia
2023,21,1,1100,12,Australia
2023,51,1,1020,14,Australia
2023,45,1,1400,21,Australia
2023,27,1,1100,10,Australia
2023,41,0,1020,12,Australia
2023,48,0,1100,14,Australia
2023,8,0,950,10,Australia
2023,9,0,650,6,Australia
2023,18,0,467,4,Australia
2023,19,0,690,5,Australia
2023,50,0,750,9,Australia
2023,45,0,560,7,Australia
2023,52,0,505,7,Australia
2023,15,0,470,4,Australia
2023,15,0,550,6,Australia
2023,3,1,660,21,Australia
2023,39,0,490,13,Australia
2023,30,0,530,13,Australia
2023,32,1,530,8,Australia
2023,41,0,950,10,Australia
2023,32,0,660,14,Australia
2023,32,0,450,15,Australia
2023,32,0,660,21,Australia
2023,21,1,850,10,Australia
2023,27,0,960,10,Australia
2023,32,1,450,14,Australia
2023,53,1,560,14,Australia
2023,51,1,750,10,Australia
2023,18,0,950,10,Australia
2023,57,1,960,16,Australia
2023,33,0,960,15,Australia
2023,33,1,450,7,Australia
2023,12,0,916,7,Australia
2023,26,1,660,7,Australia
2023,36,1,950,7,Australia
2023,34,1,750,6,Australia
2023,57,0,490,4,Australia
2023,31,0,580,7,Australia
2023,49,0,770,8,Australia
2023,35,0,690,6,Australia
2023,17,1,750,7,Australia
2023,48,0,919,9,Australia
2023,26,0,920,10,Australia
2023,15,1,960,7,Australia
2023,12,0,780,6,Australia
2023,39,0,850,5,Australia
2023,11,0,538,7,Australia
2023,17,1,881,6,Australia
2023,11,1,1163,21,Australia
2023,25,0,999,10,Australia
2023,43,1,559,8,Australia
2023,17,1,580,3,Australia
2023,38,1,524,10,Australia
2023,44,0,620,3,Australia
2023,45,0,960,7,Australia
2023,28,0,780,10,Australia
2023,29,0,980,12,Australia
2023,25,0,1020,10,Australia
2023,28,1,1100,14,Australia
2023,33,1,1130,10,Australia
2023,26,1,473,7,Australia
2023,52,0,960,7,Australia
2023,39,1,611,3,Australia
2023,20,0,875,4,Australia
2023,26,1,483,2,Australia
2023,23,0,850,10,Australia
2023,21,1,800,21,Australia
2023,52,0,891,9,Australia
2023,35,0,800,14,Australia
2023,30,0,900,17,Australia
2023,49,0,972,10,Australia
2023,30,1,950,10,Australia
2023,32,1,450,14,Australia
2023,57,0,660,10,Australia
2023,34,0,450,19,Australia
2023,20,0,980,25,Australia
2023,35,0,960,20,Australia
2023,52,0,780,7,Australia
2023,45,1,850,19,Australia
2023,34,0,950,27,Australia
2023,32,1,960,13,Australia
2023,39,1,940,23,Australia
2023,58,1,780,24,Australia
2023,37,0,750,18,Australia
2023,32,1,650,14,Australia
2023,57,0,490,6,Australia
2023,59,1,846,13,Australia
2023,26,1,560,21,Australia
2023,31,0,780,9,Australia
2023,20,1,450,12,Australia
2023,32,0,950,16,Australia
2023,59,1,650,22,Australia
2023,27,0,630,26,Australia
2023,35,0,450,27,Australia
2023,29,0,900,13,Australia
2023,22,1,853,16,Australia
2023,53,0,780,21,Australia
2023,33,0,980,7,Australia
2023,29,1,691,11,Australia
2023,32,1,680,19,Australia
2023,23,0,984,18,Australia
2023,26,0,690,19,Australia
2023,28,0,750,13,Australia
2023,28,1,850,20,Australia
2023,58,0,490,27,Australia
2023,32,1,788,6,Australia
2023,49,0,650,14,Australia
2023,33,1,780,6,Australia
2023,56,1,780,25,Australia
2023,42,0,960,15,Australia
2023,52,1,484,20,Australia
2023,50,0,690,18,Canada
2023,44,1,662,26,Canada
2023,47,0,640,12,Canada
2023,21,0,890,8,Canada
2023,53,0,750,22,Canada
2023,22,0,980,7,Canada
2023,55,1,750,17,Canada
2023,17,1,910,15,Canada
2023,24,1,514,18,Chile
2023,32,0,564,9,Chile
2023,35,0,1000,21,Chile
2023,33,1,1100,27,Chile
2023,49,1,486,20,Chile
2023,25,0,1080,18,Chile
2023,48,0,1060,25,China
2023,33,1,900,28,China
2023,26,1,870,8,China
2023,50,0,712,18,China
2023,21,0,640,28,China
2023,18,1,960,21,China
2023,29,1,690,25,China
2023,55,0,613,16,Cook Islands
2023,36,0,1010,21,Cook Islands
2023,36,1,950,24,Cook Islands
2023,49,1,698,22,Cook Islands
2023,57,0,1062,28,Cook Islands
2023,46,0,789,21,Cook Islands
2023,29,0,650,17,Cook Islands
2023,57,0,1020,7,Cook Islands
2023,17,0,879,14,Fiji
2023,42,1,960,23,Fiji
2023,22,1,650,14,Fiji
2023,19,1,780,10,Fiji
2023,48,1,750,13,Fiji
2023,32,0,660,16,Fiji
2023,36,1,740,18,Fiji
2023,25,0,595,7,Fiji
2023,30,1,794,16,Fiji
2023,47,1,960,6,Fiji
2023,25,0,650,18,Fiji
2023,22,0,450,8,Fiji
2023,65,1,770,13,Fiji
2023,36,0,980,13,Fiji
2023,47,0,712,14,Fiji
2023,2,0,871,22,Fiji
2023,53,1,740,25,Hong Kong
2023,3,0,702,14,Hong Kong
2023,57,0,830,22,Hong Kong
2023,42,1,743,13,Hong Kong
2023,33,0,910,22,Hong Kong
2023,32,1,760,22,Hong Kong
2023,28,1,580,16,Hong Kong
2023,57,1,564,6,Hong Kong
2023,57,0,973,6,Japan
2023,35,0,1983,14,Japan
2023,21,0,809,8,Japan
2023,22,1,1384,21,Japan
2023,28,1,1904,7,Japan
2023,46,0,1901,14,Japan
2023,56,0,629,3,Japan
2023,22,0,524,5,Japan
2023,41,0,670,14,Malaysia
2023,26,1,660,10,Malaysia
2023,28,1,780,5,Malaysia
2023,44,0,910,7,Malaysia
2023,46,1,890,7,Malaysia
2023,40,1,900,10,Malaysia
2023,63,0,750,7,Malaysia
2023,33,0,810,7,Malaysia
2023,45,1,600,7,New Caledonia
2023,26,1,603,7,New Caledonia
2023,35,1,700,9,New Caledonia
2023,35,0,474,5,New Caledonia
2023,6,1,568,5,New Caledonia
2023,50,1,627,6,New Caledonia
2023,59,1,600,7,Niue
2023,22,1,722,7,Niue
2023,56,0,563,3,Samoa
2023,37,1,700,7,Samoa
2023,20,1,900,7,Samoa
2023,38,1,1149,10,Samoa
2023,38,0,1000,14,Samoa
2023,33,1,741,10,Samoa
2023,17,1,1500,14,Samoa
2023,51,0,1100,7,Samoa
2023,21,1,813,9,Singapore
2023,22,1,690,4,Singapore
2023,5,0,1200,14,Singapore
2023,40,0,1005,14,Singapore
2023,37,0,1020,9,Singapore
2023,30,1,519,10,Singapore
2023,35,0,1300,21,Singapore
2023,42,1,650,14,Singapore
2023,23,0,940,10,Singapore
2023,32,1,633,7,Singapore
2023,51,0,926,24,Singapore
2023,28,1,1982,9,Singapore
2023,2,1,654,27,Singapore
2023,59,1,1837,16,Singapore
2023,37,1,1937,24,Singapore
2023,33,1,1361,23,Singapore
2023,57,0,1251,23,South Korea
2023,57,0,1010,13,South Korea
2023,52,1,1344,8,South Korea
2023,57,1,1374,19,South Korea
2023,38,1,1765,26,South Korea
2023,54,0,2027,27,South Korea
2023,39,0,1960,18,South Korea
2023,26,0,1681,8,South Korea
2023,36,1,1585,21,Taiwan
2023,40,0,550,20,Taiwan
2023,41,1,612,12,Taiwan
2023,22,0,1804,11,Taiwan
2023,20,0,1681,6,Taiwan
2023,21,1,1615,26,Taiwan
2023,41,1,1020,7,Taiwan
2023,45,0,1106,18,Taiwan
2023,50,1,1305,26,Tonga
2023,35,0,1948,16,Tonga
2023,18,0,1517,8,Tonga
2023,26,0,827,9,Tonga
2023,18,1,1552,16,Tonga
2023,24,1,549,28,Tonga
2023,47,1,2002,25,United Arab Emirates
2023,36,1,1159,22,United Arab Emirates
2023,64,0,836,22,United Arab Emirates
2023,35,0,1779,16,United Arab Emirates
2023,44,1,1977,14,United Arab Emirates
2023,36,1,1223,10,United Arab Emirates
2023,21,1,599,18,United Arab Emirates
2023,3,0,1336,20,United Arab Emirates
2023,40,0,835,27,United States
2023,46,0,1923,22,United States
2023,50,0,1886,16,United States
2023,29,1,1317,21,United States
2023,17,1,1101,15,United States
2023,41,0,666,10,United States
2023,55,0,831,25,United States
2023,18,0,1869,7,United States
2023,38,1,1693,24,United States
2023,50,1,1437,28,United States
2023,54,1,836,7,United States
2023,59,1,1704,19,United States
2023,6,1,511,6,United States
2023,27,0,1225,19,United States
2023,28,1,812,21,United States
2023,55,0,761,26,United States
2023,58,1,1125,27,United States
2023,25,0,920,10,United States
2023,20,0,1577,17,United States
2023,42,0,1981,7,United States
2023,40,0,927,22,United States
2023,23,1,1073,16,United States
2023,23,1,1307,22,United States
2023,40,0,1995,26,United States
2023,36,0,527,28,United States
2023,29,1,741,17,United States
2023,64,1,1906,23,United States
2023,35,0,1355,14,United States
2023,34,1,1280,16,United States
2023,52,0,1283,7,United States
2023,53,1,1738,18,United States
2023,52,0,1552,26,United States
2023,30,0,1053,17,United States
2023,29,1,727,8,United States
2023,57,1,1046,24,United States
2023,40,1,854,27,United States
2023,49,0,652,26,United States
2023,22,0,1154,23,United States
2023,30,1,2021,26,United States
2023,36,1,1573,11,United States
2023,28,1,1279,7,Vanuatu
2023,3,0,1654,19,Vanuatu
2023,36,1,1657,9,Vanuatu
2023,35,1,1099,10,Vanuatu
2023,42,1,794,8,Vanuatu
2023,32,1,845,10,Australia
2023,33,0,1851,19,Australia
2023,36,1,856,7,Australia
2023,40,0,1142,14,Australia
2023,43,1,583,14,Australia
2023,38,1,1473,25,Australia
2023,17,0,999,12,Australia
2023,35,0,1098,17,Australia
2023,41,0,905,20,Australia
2023,53,0,1159,16,Australia
2023,34,0,1718,26,Australia
2023,35,0,668,13,Australia
2023,32,0,1622,18,Australia
2023,38,0,1400,13,Australia
2023,30,0,850,28,Australia
2023,23,1,1088,28,Australia
2023,41,1,584,14,Australia
2023,41,1,1082,28,Australia
2023,38,0,952,22,Australia
2023,24,1,712,15,Australia
2023,25,0,571,18,Australia
2023,22,1,862,20,Australia
2023,52,1,1225,14,Australia
2023,42,0,755,27,Australia
2023,25,0,1156,16,Australia
2023,18,1,1773,25,Australia
2023,42,1,1751,9,Australia
2023,45,0,2009,19,Australia
2023,36,0,1324,27,Australia
2023,20,0,1424,12,Australia
2023,21,1,563,22,Australia
2023,36,0,533,27,Australia
2023,34,0,755,26,Australia
2023,42,0,968,21,Australia
2023,18,0,1638,27,Australia
2023,51,1,1253,8,Australia
2023,37,0,1857,11,Australia
2023,20,0,1910,27,Australia
2023,55,1,1481,10,Australia
2023,54,1,834,9,Australia
2023,21,1,1936,17,Australia
2023,36,1,1933,22,Australia
2023,60,1,1414,13,Australia
2023,17,1,1693,7,Australia
2023,19,1,1535,13,Australia
2023,51,0,1247,16,Australia
2023,26,0,667,8,Australia
2023,56,1,1160,22,Australia
2023,50,0,604,12,Australia
2023,47,1,1923,22,Australia
2023,61,0,1158,9,Australia
2023,50,1,1774,21,Australia
2023,20,1,479,12,Australia
2023,56,1,898,17,Australia
2023,44,0,1138,8,Australia
2023,59,0,1598,19,Australia
2023,36,0,1643,17,Australia
2023,18,1,892,20,Australia
2023,55,1,571,9,Australia
2023,25,1,1967,25,Australia
2023,50,0,1826,6,Australia
2023,36,1,1195,13,Australia
2023,18,1,669,13,Australia
2023,63,0,1257,8,Australia
2023,49,1,1173,27,Australia
2023,28,1,1550,6,Australia
2023,33,0,1438,17,Australia
2023,56,1,862,25,Australia
2023,35,0,495,10,Australia
2023,20,0,1343,21,Australia
2023,35,1,1860,23,Australia
2023,23,0,1447,21,Australia
2023,55,1,1651,12,Australia
2023,40,1,1641,25,Australia
2023,48,1,1073,19,Australia
2023,53,1,1482,23,Australia
2023,50,1,1580,26,Australia
2023,56,1,1718,27,Australia
2023,62,0,537,11,Australia
2023,36,1,789,23,Australia
2023,35,1,1458,26,Australia
2023,29,0,1821,11,Australia
2023,61,1,2011,19,Australia
2023,36,0,1034,12,Australia
2023,36,0,1682,15,Australia
2023,19,1,474,13,Australia
2023,52,1,1011,6,Australia
2023,64,0,659,14,Australia
2023,39,0,641,11,Australia
2023,17,0,754,17,Australia
2023,36,0,655,10,Australia
2023,41,0,1493,18,Australia
2023,66,1,1662,25,Australia
2023,36,1,1059,16,Australia
2023,19,0,470,16,Australia
2023,64,0,591,6,Australia
2023,35,1,1660,17,Australia
2023,29,0,919,23,Australia
2023,53,1,1677,24,Australia
2023,20,0,1023,23,Australia
2023,59,1,1020,19,Australia
2023,22,0,1588,13,Australia
2023,38,1,1595,18,Australia
2023,52,0,1258,21,Australia
2023,36,0,1561,25,Australia
2023,24,0,827,9,Australia
2023,43,0,1995,26,Australia
2023,19,0,1309,13,Australia
2023,20,0,864,27,Australia
2023,33,0,1922,12,Australia
2023,42,0,602,11,Australia
2023,59,0,1803,6,Australia
2023,18,0,1964,13,Australia
2023,42,0,639,23,Australia
2023,42,0,1723,16,Australia
2023,46,0,1510,9,Australia
2023,28,0,600,13,Australia
2023,27,0,700,7,Australia
2023,40,1,800,6,Australia
2023,36,0,600,3,Australia
2023,36,0,955,2,Australia
2023,23,0,800,7,Australia
2023,47,0,473,5,Australia
2023,28,0,505,9,Australia
2023,42,1,800,4,Australia
2023,40,1,951,8,Australia
2023,58,1,502,11,Australia
2023,26,0,600,9,Canada
2023,27,1,800,11,Canada
2023,26,0,960,9,Canada
2023,19,1,878,7,Canada
2023,55,1,481,12,Canada
2023,32,0,824,14,Canada
2023,32,1,540,20,Canada
2023,25,1,960,6,Canada
2023,43,1,540,11,Chile
2023,56,1,459,10,Chile
2023,55,0,555,10,Chile
2023,42,0,623,11,Chile
2023,36,0,990,14,Chile
2023,56,0,961,9,Chile
2023,40,0,963,23,Cook Islands
2023,42,0,966,17,Cook Islands
2023,54,1,654,12,Cook Islands
2023,46,1,704,14,Cook Islands
2023,17,1,573,7,Cook Islands
2023,26,1,987,14,Cook Islands
2023,36,0,741,14,Cook Islands
2023,18,1,521,6,Cook Islands
2023,51,0,805,12,Fiji
2023,42,1,560,14,Fiji
2023,53,1,459,12,Fiji
2023,55,0,700,10,Fiji
2023,53,0,800,10,Fiji
2023,52,1,900,7,Fiji
2023,42,0,799,7,Fiji
2023,41,0,500,6,Fiji
2023,20,1,700,5,Fiji
2023,32,1,930,7,Fiji
2023,42,0,500,8,Fiji
2023,22,1,860,9,Fiji
2023,42,1,900,6,Fiji
2023,42,1,800,5,Fiji
2023,42,0,700,8,French Polynesia
2023,42,0,900,28,French Polynesia
2023,36,1,800,23,French Polynesia
2023,27,0,900,17,French Polynesia
2023,42,1,596,9,French Polynesia
2023,36,0,963,20,French Polynesia
2023,42,1,842,17,Hong Kong
2023,51,0,960,6,Hong Kong
2023,55,0,600,12,Hong Kong
2023,24,0,750,26,Hong Kong
2023,42,1,569,9,Hong Kong
2023,36,0,874,15,Hong Kong
2023,34,0,499,28,Hong Kong
2023,18,0,853,21,Japan
2023,38,0,873,18,Japan
2023,42,0,895,26,Japan
2023,31,0,966,10,Japan
2023,32,0,666,19,Japan
2023,57,1,960,10,Japan
2023,67,0,717,25,Malaysia
2023,38,1,852,7,Malaysia
2023,30,1,450,13,Malaysia
2023,45,0,900,7,Malaysia
2023,22,0,650,6,Malaysia
2023,56,0,750,3,Malaysia
2023,24,0,860,2,Malaysia
2023,36,1,960,7,New Caledonia
2023,39,0,750,5,New Caledonia
2023,56,1,600,9,New Caledonia
2023,17,1,600,4,New Caledonia
2023,46,0,854,8,New Caledonia
2023,28,0,600,11,New Caledonia
2023,50,0,679,9,Niue
2023,17,0,716,11,Niue
2023,38,1,600,9,Niue
2023,38,1,474,7,Niue
2023,29,0,705,12,Niue
2023,36,1,500,14,Niue
2023,50,1,645,20,Niue
2023,68,0,900,6,Niue
2023,55,1,700,11,Samoa
2023,38,0,850,10,Samoa
2023,2,0,953,10,Samoa
2023,26,0,1100,11,Samoa
2023,50,1,1500,14,Samoa
2023,43,1,1000,9,Samoa
2023,27,1,900,23,Samoa
2023,30,1,900,17,Samoa
2023,56,1,600,12,Singapore
2023,40,0,700,14,Singapore
2023,34,0,850,7,Singapore
2023,28,1,840,14,Singapore
2023,59,1,950,14,Singapore
2023,56,0,700,6,Singapore
2023,49,0,600,12,Singapore
2023,3,0,900,14,Singapore
2023,6,1,950,12,Singapore
2023,18,1,960,10,Singapore
2023,23,0,960,10,Singapore
2023,35,1,1100,7,Singapore
2023,15,1,800,7,Singapore
2023,38,1,900,6,Singapore
2023,52,1,930,5,Singapore
2023,25,1,800,7,South Korea
2023,17,1,960,8,South Korea
2023,39,0,746,9,South Korea
2023,52,1,538,6,South Korea
2023,31,0,450,5,South Korea
2023,41,0,960,8,South Korea
2023,55,1,780,15,Tonga
2023,22,0,810,13,Tonga
2023,56,0,1200,7,Tonga
2023,23,1,520,6,Tonga
2023,40,1,660,3,Tonga
2023,20,0,870,2,Tonga
2023,36,0,930,7,Tonga
2023,30,0,710,5,United Arab Emirates
2023,36,1,650,9,United Arab Emirates
2023,46,0,740,4,United Arab Emirates
2023,22,0,722,8,United Arab Emirates
2023,30,0,1200,11,United Arab Emirates
2023,50,0,1400,9,United Arab Emirates
2023,42,0,1000,11,United Arab Emirates
2023,47,0,960,9,United Arab Emirates
2023,38,0,654,7,United States
2023,19,0,1000,12,United States
2023,19,1,1100,14,United States
2023,42,0,1300,20,United States
2023,5,1,1000,6,United States
2023,37,0,500,11,United States
2023,57,1,900,10,United States
2023,17,0,1100,10,United States
2023,22,0,1400,11,United States
2023,54,0,1300,14,United States
2023,34,0,1500,9,United States
2023,6,0,1200,23,United States
2023,5,0,1020,17,United States
2023,63,0,1000,12,United States
2023,39,1,900,14,United States
2023,56,0,500,7,United States
2023,42,0,1400,14,United States
2023,57,0,2000,14,United States
2023,37,0,1100,6,United States
2023,26,0,1040,12,United States
2023,38,1,1600,14,United States
2023,28,0,1100,12,United States
2023,17,0,1400,10,United States
2023,55,1,1100,10,United States
2023,38,0,700,7,United States
2023,39,0,1020,7,United States
2023,25,0,1600,6,United States
2023,38,0,900,5,United States
2023,48,0,1000,7,United States
2023,48,0,630,8,United States
2023,18,1,940,9,United States
2023,42,0,1200,6,United States
2023,43,1,1300,5,United States
2023,39,0,1700,8,United States
2023,39,0,160,11,United States
2023,30,0,1000,26,United States
2023,43,0,1600,6,United States
2023,35,1,725,23,Vanuatu
2023,26,0,1400,13,Vanuatu
2023,53,1,1454,24,Vanuatu
2023,46,1,1578,10,Vanuatu
2023,50,0,711,26,Vanuatu
2023,30,0,1269,10,Vanuatu
2023,39,0,863,25,Vanuatu
2023,41,0,1014,8,Vanuatu
2023,41,0,734,21,Australia
2023,47,1,1427,6,Australia
2023,41,0,1743,15,Australia
2023,41,1,1195,18,Australia
2023,19,0,649,21,Australia
2023,18,0,574,10,Australia
2023,41,1,870,20,Australia
2023,36,0,996,12,Australia
2023,36,1,665,11,Australia
2023,23,0,548,28,Australia
2023,31,1,1102,17,Australia
2023,33,0,1544,10,Australia
2023,47,1,1200,9,Australia
2023,36,0,468,12,Australia
2023,52,1,1242,13,Australia
2023,41,0,591,14,Australia
2023,28,0,1039,12,Australia
2023,36,1,554,7,Australia
2023,38,0,870,15,Australia
2023,51,0,568,26,Australia
2023,41,0,834,20,Australia
2023,42,0,857,15,Australia
2023,22,0,994,6,Australia
2023,27,0,1721,12,Australia
2023,39,0,505,14,Australia
2023,39,1,1484,25,Australia
2023,30,1,919,21,Australia
2023,18,0,496,16,Australia
2023,23,0,2011,10,Australia
2023,31,0,1986,25,Australia
2023,39,1,591,18,Australia
2023,41,1,1387,12,Australia
2023,36,0,1467,15,Australia
2023,41,1,1196,12,Australia
2023,43,1,712,25,Australia
2023,50,0,660,27,Australia
2023,56,0,1755,18,Australia
2023,47,0,867,23,Australia
2023,44,1,1749,13,Australia
2023,17,0,1537,7,Australia
2023,39,1,2015,6,Australia
2023,42,0,1937,3,Australia
2023,56,0,1978,2,Australia
2023,48,1,673,7,Australia
2023,26,0,1724,5,Australia
2023,21,0,1664,9,Australia
2023,25,0,1814,4,Australia
2023,18,1,1489,8,Australia
2023,36,0,750,11,Australia
2023,43,0,542,9,Australia
2023,30,1,929,11,Australia
2023,52,0,860,9,Australia
2023,24,0,539,7,Australia
2023,44,0,1255,12,Australia
2023,41,0,1976,14,Australia
2023,36,1,771,20,Australia
2023,29,0,1761,6,Australia
2023,35,0,1002,11,Australia
2023,29,1,1265,10,Australia
2023,47,0,1932,10,Australia
2023,36,0,738,11,Australia
2023,39,0,1747,14,Australia
2023,18,0,1970,9,Australia
2023,18,1,933,23,Australia
2023,39,1,581,17,Australia
2023,60,0,1683,12,Australia
2023,35,0,1022,14,Australia
2023,47,0,831,7,Australia
2023,39,1,688,14,Australia
2023,28,0,665,14,Australia
2023,39,0,1999,6,Australia
2023,26,1,992,12,Australia
2023,45,0,1498,14,Australia
2023,52,0,1553,12,Australia
2023,48,0,473,10,Australia
2023,48,0,763,10,Australia
2023,55,1,1813,7,Australia
2023,62,1,1598,7,Australia
2023,39,1,968,6,Australia
2023,39,0,910,5,Australia
2023,41,0,1183,7,Australia
2023,15,0,1537,8,Australia
2023,16,0,808,9,Australia
2023,53,1,1873,6,Australia
2023,20,0,1142,5,Australia
2023,53,1,1640,8,Australia
2023,37,0,632,20,Australia
2023,5,0,1448,15,Australia
2023,41,0,1353,7,Australia
2023,17,1,1038,22,Australia
2023,37,0,965,12,Australia
2023,17,1,566,9,Australia
2023,58,0,1875,20,Australia
2023,17,1,1869,25,Australia
2023,18,0,683,16,Australia
2023,58,0,1475,6,Australia
2023,42,0,1922,24,Australia
2023,49,0,2015,13,Australia
2023,56,0,1952,7,Australia
2023,36,0,1410,6,Australia
2023,34,1,1594,3,Australia
2023,26,1,1786,2,Australia
2023,40,0,963,7,Australia
2023,49,1,1213,5,Australia
2023,41,0,694,9,Australia
2023,39,0,1883,4,Australia
2023,20,1,1615,8,Australia
2023,19,1,898,11,Australia
2023,43,1,625,9,Australia
2023,46,0,502,11,Australia
2023,13,0,1951,9,Australia
2023,57,0,1270,7,Australia
2023,17,0,1605,12,Australia
2023,12,1,450,14,Australia
2023,36,1,660,20,Australia
2023,18,0,1639,6,Australia
2023,41,0,1627,11,Australia
2023,24,0,782,10,Australia
2023,36,1,942,10,Australia
2023,42,1,1232,11,Australia
2023,41,0,598,14,Australia
2023,19,1,1746,9,Australia
2023,36,0,566,23,Australia
2023,51,0,1571,17,Canada
2023,36,0,1039,12,Canada
2023,20,0,1024,14,Canada
2023,30,0,1848,7,Canada
2023,49,1,680,14,Canada
2023,51,0,1462,14,Canada
2023,35,1,770,6,Chile
2023,74,0,788,12,Chile
2023,64,0,598,14,Chile
2023,33,0,1315,12,Chile
2023,24,1,718,10,Chile
2023,20,0,1301,10,Chile
2023,40,0,1559,7,China
2023,58,0,729,7,China
2023,32,1,1862,6,China
2023,71,0,760,5,China
2023,27,0,502,7,China
2023,32,1,861,8,China
2023,44,0,1527,9,Cook Islands
2023,56,1,1679,6,Cook Islands
2023,39,1,1987,5,Cook Islands
2023,65,0,907,8,Cook Islands
2023,46,1,975,19,Cook Islands
2023,69,0,1748,25,Cook Islands
2023,30,0,502,22,Cook Islands
2023,74,1,657,18,Cook Islands
2023,41,0,2026,6,Fiji
2023,58,1,1032,13,Fiji
2023,23,1,989,7,Fiji
2023,74,0,864,6,Fiji
2023,75,0,1298,3,Fiji
2023,49,1,1390,2,Fiji
2023,34,0,1924,7,Fiji
2023,72,0,1869,5,Fiji
2023,19,0,1913,9,Fiji
2023,34,1,459,4,Fiji
2023,60,1,1234,8,Fiji
2023,44,0,1081,11,Fiji
2023,45,1,1361,9,Fiji
2023,30,0,1276,11,Fiji
2023,44,0,620,9,Fiji
2023,47,0,857,7,Hong Kong
2023,59,1,1181,12,Hong Kong
2023,57,0,1190,14,Hong Kong
2023,32,0,1328,20,Hong Kong
2023,37,0,560,6,Hong Kong
2023,62,1,2015,11,Hong Kong
2023,31,0,1157,10,Hong Kong
2023,61,1,1459,10,Japan
2023,47,0,843,11,Japan
2023,60,1,472,14,Japan
2023,42,1,470,9,Japan
2023,50,0,1109,23,Japan
2023,35,0,1596,17,Japan
2023,46,0,743,12,Japan
2023,51,0,561,14,Malaysia
2023,75,0,896,7,Malaysia
2023,45,1,608,14,Malaysia
2023,25,1,1765,14,Malaysia
2023,20,0,795,6,Malaysia
2023,62,0,836,12,Malaysia
2023,36,0,1291,14,Malaysia
2023,53,1,694,12,New Caledonia
2023,24,0,1697,10,New Caledonia
2023,70,0,615,10,New Caledonia
2023,52,1,717,7,New Caledonia
2023,52,1,782,7,New Caledonia
2023,29,0,873,6,New Caledonia
